dim_x,dim_y,dim_z,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,orient_x,orient_y,orient_z
1,1,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,0.1,1
1,1,1,-1,0,0,1,0,0,0,0,0.2,1
1,1,1,1,1,0,1,0,0,0,0,0.3,1
1,1,1,-1,1,0,1,0,0,0,0,0.4,1
1,1,1,1,-1,0,1,0,0,0,0,0.5,1
1,1,1,-1,-1,0,1,0,0,0,0,0.6,1
1,1,1,1,1,1,1,0,0,0,0,0.7,1
1,1,1,-1,1,1,1,0,0,0,0,0.8,1
1,1,1,1,-1,1,1,0,0,0,0,0.9,1
1,1,1,-1,-1,1,1,0,0,0,0,1,1
1,1,1,1,1,-1,1,0,0,0,0.1,0,1
1,1,1,-1,1,-1,1,0,0,0,0.1,0.1,1
1,1,1,1,-1,-1,1,0,0,0,0.1,0.2,1
1,1,1,-1,-1,-1,1,0,0,0,0.1,0.3,1
